tweet,predicted_labels
simply dynast flatterer nothing else ignore st family nation nowmrchacko gandhi paribar modi paribar,Negative
unfortunately many indians rightly support modi correct reason believe consistent supporting trump fact trump closer pappu also cheating dynasty failed everything ever done,Possitive
sidhu said terror country hat people modi right pakistani people enemies terrorism factory pakistan sidhu say like,Possitive
hmm modi promised list people deposited black money swiss bank also promised give list supreme court fir pata nahi kya hua,Negative
watch elections kapil sibal attacks modi government demonetisation youtube,Negative
modi wil come eat sabzi biryani election,Negative
rename republic modi rules allow,Negative
crude oil prices since manmohan singh left office,Negative
pms mission shakti address didnt violate model code conduct via modi stupid ignorant violate rules election time opposition shown stupidity desperation infantile brains dont vote,Negative
journalist fight minority appeaser tell frankly much pay praise busy fight rather working peoples welfare development infra bringing jobs,Possitive
still mission fir modi sarkar sought may,Negative
priority remove bjp honest man working hours day without taking leave years thats opposition thinking progress india first priority defeat modi second loot india,Possitive
fashion make fun jyotisha brahmins vedas mantra today even right wing cheers statements modi sir even vote hindu respects hinduism bjp like udit raj etc,Possitive
whats modis government contribution drdoisro get credit also wasnt reported kuch bhi accha credit isse lena hain,Negative
indian voters vindictive campaign always backfires bjp harsh sonias italian origin result people voted sonias party congress smear campaigned modi year old godhra result cong repeating mistake,Possitive
difference aristocrats son nehru farmers son sardar patel identically difference dunasts dumb son rahul chaiwalas son narendra modi,Negative
opposition creating nothing modi take credit away scientists project satellite catapulter instead president india inaugurate war memorial himselfhe better take blame jawan speaks bhaktism proved,Possitive
bjp cell got tight slap right face defaming,Possitive
fantastic countries defence growing strong iam proud indian let modi sit next term wish success,Possitive
new tag line rahul gandhi stolen rafale papers mar ist india taking dig modi government congress president,Negative
bjpigs start abusing anyone criticises fraud modi thats taught rss shakhas,Negative
even cant give reasons proclaiming uneducated bhakt wow want give achievement plz give upa regime nda vote joker much want family seen change thats stand firm modi,Possitive
remember sacked bsf jawan complained bad food contest narendra modi elections,Negative
fruitful discussion head faculty modi inequalities society role capitalism,Negative
governance seemed everyones playing grounds even ignorant cud dabble dawn modi age,Negative
tab modi first election fight kiya rahul third time hain,Negative
advanijoshi duo bjps star campaigners campaign would sales pitch reelect modi image times india mumbai mar,Negative
today morning news feed feed used newsx modi meeting arunachal news covering least amit shah gandhi nagar nomination sure constitutes violation though,Possitive
naidu said modi works like machine family dont work like machine cant dont get sleep night khauff always rahulpriyanka speeches,Negative
congress calls modi credit snatcher line snatch credit india poverty wants fix years grand mom indira gandhi see long queue credit snatchers,Possitive
modi promised lakhs money indians believe time deciphered topic space safety rahul gandhi lowered lakhs value setting standard,Negative
modi jis address stress governments performance blatant violation code conduct needs probed election commission towing govts view point,Negative
serious lack intellect bhupenif would second modi,Negative
think movie modi going help bjp anyway election think going harm help however tashkent files effective expose pseudoseculars country,Possitive
told congressi vote regional leader congressi yeah last time voted modi scope vikas much aware gujarat model would never ever vote,Possitive
modi could talk today,Negative
say pride making caller tune stand prime minister,Negative
everyone knows used force muslims speak modi camera post riots shameless worm,Possitive
way make muslims feel part society aliens doesnt happen normally around world fascists leaders office important countries like modi trump think deserve praise,Possitive
give prove modi waived loans adani ambani say crore say crore national herald scam,Negative
gharwapsi sanghi resorts lies falsehoods untruths fiction myths fairy tales exposed via,Negative
talk going people much majority modi getand question next,Negative
vote modi important projects like river linking ganga cleaning river waterways river freight corridor smart cities among others initiated taken fwd,Possitive
pms speech didnt violate poll code election commission address modi neither mentioned party appealed voters vote favor,Negative
india joins elite club space powers highlights modis announcement,Negative
pause quote modi ambani jeb mein paise daal diye opposition back targeting pressing issues,Negative
wherewhy congress fooling itselfbefore modi ruled nationwho created npa messreminding congress insolvency bankruptcy code,Negative
clearly edited video people like indirectly publicity modi,Possitive
arnab modi questioning modiji,Negative
one argue policies certain government instead talking places talk modi govt policy growth manufacturing sectorunemploymenthealth related policies,Possitive
modi,Negative
modi crippled economy destroyed jobs far creating new jobs fact destroyed jobs crore jobs destroyed,Possitive
please ask muslim christian friends come say jai modi know modi till doesnt bring peace strict,Negative
smart keep using every opportunity one key strategic lever votestoo early say whether balakot dead large swathe hinterland still firmly modithey cant spot leader elsewhere,Possitive
avg peoples minds impressionable creating noise imp whether right wrong even otherwise rgandhi principle kuch bhi kholegadeygakareyga kursi going mandirgoshalapromise rebuild temple free income etc copying everything,Possitive
ever cards favour modi nandita panday,Negative
vote modi unlimited mobile data annual savings rs,Negative
also vote narendra modi,Negative
modis tenure expect mob lynchers hatemongers rapists garlanded applauded,Negative
modi increased tax gold ornaments,Negative
dumb corrupt pappu thinks like thinks tremendous achievement scientists would gone unnoticed modi announced man something called nasa something like hit mosquito chinese bat house,Negative
indian elections campaign season kicks list shows darker moments last years,Negative
bjp modi vote,Negative
modi signage taken due elections,Negative
talking yoy,Negative
aap modi criticize nai kar paate religion khaak karogeand makes think dont liberty say thingsim saying things iok period real history mean aeroplane developed india years ago internet shit,Possitive
play psychology common people,Negative
ill always remember excitement modi jis face announced like wanted share family members sawa sau karod deshvasi people country love country reflects every gesture,Possitive
reform measures look modi govts performance last five years,Negative
okay lets talk power dynamics dynamic saving vote percentage value given human life rights dynamic doesnt meant modi separatist fascist people killed eating beef dont ignorant fool,Possitive
amazing feeling people india chaiwala understand pain chaiwalas modi via namo app,Possitive
poem penned used modi journey common man part web series based life,Negative
laughing stock modi flaunted rules since beginning drama making people laugh,Possitive
done elections substantial seat benefit would accrued better late never one term modi,Possitive
donald trump modi born year great leader rahul priyanka surjewala born jawahar lal nehru pmcongress always worked betterment nation,Possitive
congratulations sir modi hain mumkin hain support vision impressed working style vikash per dhyan muftkhori may sikhao mehnat krne walo haar nhi hoti jai hind,Negative
dont talk much otherwise modi launch special satellite pictures tmc activities lol,Possitive
nearly say vote modi govt deccan herald,Possitive
modi motivates people progress,Negative
prime minister address nation little noon two weeks ahead start voting april sevenphase,Negative
sure drivers seat make sure team including must fasten seat belt weak hearted advised around travels kmhr hits targets precision space space,Possitive
mere payare deshwasiyo kaam lag gaye waiting modi responce look like dont value timethat working hrs day,Negative
start cursing modi country electing modi,Negative
arnab taking modis interview wow emotional pride moment fan meeting idol congratulations arnab goswami,Possitive
thanks lot modi give brilliant guidance scientist please also share story throw apple tree newton thn discovered gravity law also whn ran fastr thn light emc come existence,Possitive
department space comes modi every right announce,Possitive
god bless pmo modi congratulations,Negative
dont say guy lying modi hasnt denied,Negative
happy see gov india website heritage texts exciting fabulous great natendra modi administration promoting excellent compilation look folks,Possitive
seldom created false data modi may lead revolution labour unrest etcetc much surprise country may become another somalia pls remember prior cast vote,Negative
assami people come together support modi,Negative
modi hate christians,Negative
become chowkidar make india best country world happen elect honourable modi every timei also chowkidar iam far away home lost vote power,Possitive
nobody country doubt patriotism narendra modi word life speaks,Negative
reasons support modi stand divisive politics handling terrorism security threats clear vision india future decision making abilities proactive diplomacy empowering india,Possitive
heart handle purdue fan,Negative
yes right sir nyay money fictitious accounts routed markets evil modi defeated lord rahul preside great loot india,Possitive
say modi wrong vote upa,Negative
chill anger strangers bro new podcast,Negative
hon ble narendra modi going address bharatiya janata party bjp praja chaitanya sabha kurnool today excitement among people kurnool karyakartas bjp andhra pradesh visit modi,Negative
rally modi bankura great boost,Possitive
historic day congratulations scientists hai mumkin hai,Negative
vote bikas vote newindia vote stable government vote future generations vote lotus vote modi sarkar vote india lead,Negative
fight corrupted leaders like gr courageous leaders like modi,Negative
dear oppose income tax searches modi advantage giving voters inference something hide dont give modi advantage let anyone wants raid let raid come clean advantage,Possitive
educated sms wonders considering candidates front vote one modi yes,Negative
abe desh bechne achha hai tshirt becho right time also ppl deliver ealect,Possitive
mgs nara elaborate,Possitive
everybody canvassing parties modi canvas bjp,Negative
best wishesh massive victoryye hai modi lahar jay,Possitive
make sense nehru got raw nation nothing opportunity build everything relevant point upa give green signal reasons known modi gave green signal,Negative
yea highest crossed usa,Negative
breaking court refuses conditional bail nirav modi stays jail,Negative
new india modi india,Possitive
standby would addressing nation around noon important message tweets modi watch live,Possitive
happy world theatre day sir congratulation poaching free air time middle modal code conduct name national security aur kya kya karenge aap national security naam,Possitive
hate modi driven ppl twist history shift attn islamic invaders recent pak roles dont mind belittle valour defence force,Negative
vajpayee canceled coz fernandes tehelka family gov anthony defence min constipation yrs bypass parrikar ive config pay,Negative
modi waiting years launching missile,Negative
modi completed five years office remains widespread anger disappointment among voters vague performancemodi government alarmingly confronting serious accusations terms various scamstill scams heightened accusations modi,Negative
two days back said vote modi national dont anti national,Negative
pmorahul addresses congress rally sriganganagar says modi weakening helping poor,Negative
agree modi still bigot,Negative
realised slowly scheme proposed help poor punishthrash middle class supports modi course mop huge funds congress party crooks,Negative
waiting modi sir best pmforever jai hind,Possitive
boss says important sure huge expectation feel wont disappoint unlike time less seats mark words real chowkidar modi,Possitive
madam mention captain saab would blamed yogi modi directly,Negative
infringing autonomy educational institutions rewriting school textbooks palming myth science assault reason modis india,Possitive
storm tea cup perhaps chaiwala modis campaign reaches railways tea served main bhi chowkidar cups,Possitive
please shout modi modi things might change,Negative
rahul gandhi say chance come near world theatermr modi used world theater advantage india even cup tea rahul gandhi dont understanding issues thinks bribing ppl election may work,Possitive
nope isnt exactly model congresss version well thought prove revolutionary rural economy almost dead modis rule fall venezuela lot international pressure vested interest world bank,Possitive
indeed nda govt led modi biggest setback congress plans converting india islamic countryand steps like air strike asatthey lost hopes pakistan attacking breaking india fake gandhis working,Negative
modi best person lead country,Possitive
leaked reports reveal severe abuse saudi political prisoners unfortunate regime prince internationally known mbs loved man narendra modi,Negative
nehru isro find,Negative
busting myths truth behind india fake whatsapp forwards,Negative
india modi,Negative
said nyay twin objectives giving money poorest remonetising economy damaged demo,Negative
already means boat travel drinking ganaga waterits modis dream clean ganagaand showing ganaga cleaneven modi,Possitive
modi support,Negative
upa worst growth india want modi next years plus,Negative
modi scientists demanding testing shooting satellite space government upa postponed decision also make india st century strong security decision taken long ago kept getting delayed,Possitive
modi doesnt believe global warming think one non partisan topic people vote though numerous reasons,Negative
bad happened country piddi like shout top lungs modis fault blah blah something good happens modi take credit nehrufake gandhi family entitled take credit,Possitive
interesting billionaire arrested defrauding bank knowledge senior bank officials allegedly issuing fraudulent letters undertakings overseas banks obtain buyers credit remind anyone anything,Possitive
yog dnt try bring bure din cntry achhe din modi stay,Negative
please dont prevent modi making speeches right election voluntarily campaigning mahagathbandhan dont think mcc says anything promoting opponents,Possitive
full support respected modi,Negative
okkkk following modi jhumla,Negative
veterans taking upper hand modi past creeps present shape future,Negative
far ahead yrs jumla fake entire political science con man explain education jobs career hlthcare womens safety justice economy value modi record compare congress offer also compared bjp promises,Negative
honble prime minister shri narendra modi requested please tell india party president complain state west bengal rulling party leaderships openly saying break hands personnels central forces police kept mum,Negative
new india modi,Possitive
honourable prime minister modi nation everything one match leadership style empowering responsible people one key area success sir people country wants continue till wish hats,Possitive
modi campaign asked donkeys pakistan kidnap year old donkeys support,Possitive
stop trolling modi plz,Negative
terrorists pakistan want lose opposition win modi,Possitive
surprised since onwards hold finally modi government given final nod best part government initiatives national interest thank,Possitive
strong message modi nation constantly working uplifting poors deviated goal global superpower showing things done simultaneously crucial congress dole politics,Possitive
vote people know modi done better work pappu matter continuing dynasty mla,Possitive
ponguleti sudhakar congress party meets resignation sends joining tomoin presence modi vijaya sankalpa rally,Negative
received today modi continues smile atms please propagate right ears,Possitive
trying project farooq,Negative
truth modi giving importance,Negative
fraud modi sending bjpigs defend,Negative
side border started terrorist head count,Negative
due respect raghuram rajan likes every free scheme congress employment potential objects self employment scheme like mudra loan black money eradication scheme modi convincing explanation,Possitive
modi crore indians lakh dene wale hum kabse wait kar rhe kab black money swiss bank aaye aur kab hame lakh mile sir crorex lakh possible calculate,Negative
time narendra modi,Negative
unravelling inspiring story official trailer modi subscribe erosnow thapril get annual subscription,Possitive
yes modi great scientist helped isro missions personally,Possitive
congratulations drdo isro modi ambi aadani achievement congrats modi sorry rood believe equality believe indian indian hindi,Negative
lot work done modi team results tireless efforts timely execution projects thanks wonderful namo team,Possitive
unlimited anonymous donations indian foreign companies serious repercussions indian democracy modi electoral bonds slammed political parties major stakeholders democracy accountable public,Negative
look rahul kanwal started debate calling opposition mahamilawat anchor using language modi,Negative
hates modi,Negative
seems satellite modi claimed shot still orbiting,Negative
brothers sisters please vote modi let make india great,Possitive
priyanka gandhi vadra slams narendra modi says tours world visited varanasi,Negative
nirav modi mallya share jail cell mumbai extraditedquest also extradited india yearold india alleged high value sophisticated fraud money laundering mallya extradition trial india informed india mal,Possitive
modi bhale bjp cha asel pan tyaacha root rss banvlaay tarri rss wala desha viruddha gela asel tarr nakkich saang strongly believe rss nationalism national herald case cha result hota around th feb deny congress pulwama,Negative
good morning modi bjp government,Possitive
pak could years modi done oppn rally follow live updates,Possitive
scheme prominent endeavour eliminate gap two india created narendra modi suitbuit friend family proved represent voice poors marginalised sections,Possitive
great salute drdo scientists honourable modi achieved superpower space,Possitive
lies lies around data work program gujarat model modi,Negative
modi,Negative
wednesday set aside order granting bail rahul modi mukesh modi case related alleged duping investors,Negative
chor chowkidar like modi,Negative
awaited trailer film narendra modi,Possitive
bombay high court hear plea release film narendra modi march ani,Possitive
look close chowkidar modis pic may feel something obstructing face device called teleprompter modi get real leaders rather feku chowkidar,Possitive
could answer questions students west bengal called maoist challenging modi makes sense,Possitive
mother troubled one demonotization used joke jitna bacha rakha tha sab modi jama kara diye today bank manager told eligible got blessings blessings,Negative
knowledge empowers site wins elections gets,Possitive
dear narendra modi islam muslim extremists mentalities rather say indians radical mentalities wheather may hindu muslim better keep terrorists safe,Possitive
waiting comments modis speech,Negative
check dont oppose modi hindu,Negative
absolutely think modi smart knows time ball well patience ensure min aabhi toh yeh saare cases sirf ujagar hue hain tak bahut kuch saaf jayege,Possitive
mnrega pernicious scheme scrapped first opportunity unfortunately modi implemented better,Possitive
doubt credit given due modi accepts credit problem current leadership,Negative
modi exclude muslim people mentioned suffered badly regime,Negative
modi supporter enough cancel stupid ass,Negative
like didnt cast modi biography milkha singh artist job portray characters dumbest thing ive read today everyone agrees tweet needs major help,Possitive
sacked bsf jawan tej bahadur yadav contesting lok sabha polls modi varanasi,Negative
capable word congratulate modi scientists let say crore indians feel proud modi scientists,Possitive
give update ground realities local leaders anyways useless goal modi helping useless local leaders unfortunate,Negative
believe partyperson make india better place right find modi atalji far muslim haters concerned image failed prove refuse say vande mataram host isis pakistani flag,Possitive
saw one election vid mathura people happy hema malini say vote modi one gentleman said care candidate want modi,Possitive
people genuinely oppose ruling party never tagged antinationals pseudo liberals like question army praise imran khan called peace gesture people whose agenda bash modi definitely termed anti nationals,Possitive
failure like train pulwama attack modi government responsible success asat test surgical strike balakot air strike scientist armys success consistent guys,Possitive
problems nationalism wild guess paid remove modi imran company,Negative
means electricity switched villages till modi switched invented came use switched,Negative
dont even believe story trueonly pastime andh pidiscommies churning lies modistories drivers maids gardeners dhobi veg vendor etcand hate modi,Negative
follow account hardcore modi supporter,Negative
biggest fraudster world india richest country congress regime kept secret till modi came scene,Negative
yes single leader parties take things seriously look modi days ago made fun disease always try insult sonia rahul,Possitive
modi classmate college,Negative
thabk hemaji dream girl knows truth,Negative
demonetisation killed informal sector million jobs lost raghuram rajan new freakonomics podcast via,Possitive
modi announce drdo isro,Negative
yes many young people selling tea platform good initiative modi,Possitive
modi rocksthis time ground islamic congress says hindustan resources muslims really showed strength conduct activitieshats sir election,Possitive
didnt ask modi waived crores big business houses shot,Negative
criticising antisatellite technology given befitting reply elections,Negative
body language dat depend observing ask bjp karyakarta say awsme bdy language ask congie say opp frame reference knw ppl dnt wnt rahul gandhi modi rahul rahul way behind urself ans dis ques btr,Negative
self irani questioning believing given tahekedari jhhoti degree wali modi chamchi think talk priyanka gandhi moving ram bhakt smriti irani times india,Negative
great way get new version time bjp government indian people make great decisions new government bjp created new achievement several years congress claimed modi government,Possitive
modi wants ruin air defense system pakistans enmity,Possitive
nero kept army waiting hrs without transport guj riots massacre progress thats good governance nerostyle,Possitive
dead fallen years ago slogan eradicate poverty congress remained mere slogan means ever created political modi government established basic structure reach common man modi honest,Possitive
movie modi market elections stop release movie elections get,Negative
tweeting going vote modi illu cheap agi adtale eyamma,Possitive
compromise fear modi rule,Negative
called modi flop film dramebaz actor,Negative
work towards phd modi knows deal country,Negative
narendra modi make poll pitch northeast saturday,Negative
modi rahul gandhi textbook examples adjective polarising evoke extreme love revulsion opinion editor rama lakshmi writes,Possitive
good read lines hindus need rise caste lines vote block back modi read forward like,Possitive
become extraordinary one make lot sacrifices line modis trailer subscribe high definition ashish clear hes sitting living room hahaha,Possitive
class influential lack sociopolitical awareness modi govt must engage get desired political developmental results jammu region,Possitive
lot average indian worsened last years demon helped crony capitalists corrupt bjp leaders convert lakhs crores black money white bjp got windfall donations recd last year cash unaccounted moneyhypocrisy bjp modi,Negative
volunteers bangalore campaigning modi,Negative
talking english writing books longer barometer intelligence visualization counts country modi,Negative
chowkidar wont rule frightening people modi isnt chowkidar atall however country doesnt need chowkidars needs committed jimmedars,Negative
nirav modi trying vanuatu citizenship lawyer via,Negative
everything dharna drama nautanki,Negative
watch prime minister narendra modi live address nation,Possitive
said modi bhai disrespectful,Negative
end mein bhai chowkidar campaign,Negative
include team modi swamy foresaw long time ago,Negative
seems happy whatever good happens india differences modi understood hate india space mission success really makes firm slap hard next time see indian airport,Possitive
clearly bias visible modi gives largess budgeted opposition promise something sameline budgeted expect opposition create budget govt handing sops,Possitive
aap contender form govt centre cong cong doesnt problem rjd problem aapif modi bcoms cong alone responsible,Possitive
say anything programmes vision keep looking modi criticising,Negative
modi live india th nation join elite space club economic times,Possitive
asat lego game guy seriously needs wife come back deprived sexually means loss control mind tongue forget modi came congress,Negative
bjp blackfoot dure raghuram rajan challenged nationalism growth based capitalist mindset anti bjp media continually debating book views supported anti modi journalists,Negative
hahahah sahi pakde hai people want crib like look brighter side india achieved something proud want know modi announced,Possitive
new leaders born serve nation better country support india respected globally years things changing personal experience abki baar phir modi saarkaar jai hind,Possitive
want modi lifetime deshhit,Negative
modi kickoff campaign tomorrow visit day one ram madhav,Negative
another feather cap modi government order notifying authority issue ews certificate thanks sac headed honourable governor satya pal malik,Possitive
arnab shout need elections modi says contest result foregone conclusions,Negative
model code conduct modi code conduct,Negative
youth respected sri narendra modi jipura bahumat aayega,Negative
pol parties desh bhakths hue cry modi mking announcement lst hrd modi good country helps modi pnts elections,Possitive
india prime ministerpm modi attacks samajwadi party says betraying principles ram manohar lohia,Negative
modi votes past notoriety mass killing muslims started winning post elections different money bagsmedia helped media blistering coupled hindutva brigate agenda demonising muslims bogy dev nonsense,Negative
cook made excellent lunch today credit goes narendra modi,Possitive
last five years modi govt constantly worked towards enhancing income farmers several initiatives,Negative
well want modi pakistan congress mamatha mayavathi kejriwal upa alliance clearly proves nationalists anti nationalists,Possitive
isro working like dogs since modi came power good see results,Possitive
great work done scientists proud indian modi raaj,Possitive
expected everything fake modi govt dont want youth grow crypto regulation sirf jumla,Negative
people vote bjp deii modi bhai konjam serious edhavadhu pesura,Negative
proud indian scientist honorable modi,Possitive
gandhi jee must turning grave let india great secular nation modi philosophy destroyed sot imagepolice registers fir family attacked mob gurgaon,Possitive
yap thats true weak come speak hindi rearly use hindi better modi,Possitive
beta ready one modi tenure bet endia would come end supposed,Possitive
bad even hardcore bjp voter voted thats good hadnt happened modi wouldnt,Possitive
nly real chowkidar narendra damodar modi,Possitive
rajiv kumar jumlait prepeared reknown economist unlike modi,Negative
aur modi kya bhagwaan talk abt jobs also plss,Negative
todays evening main stream medias capture kidnappingby modi continue day day till complete mission,Possitive
vivek obrai actor producer movie narendra modi going meet today,Negative
yes modi trendsetter lets follow please first full credit goes modi lots votes hindustan always good scientists suppressed modi gives funding goals freedom,Possitive
modi journey common man eros orignal series,Negative
child sexual abuse huge problem india dont indias netas care via repeat world wide epidemic join hands end,Possitive
know loose enlightenment celebrities support modi remains intact celebrities like swara bkodkar supports congress,Negative
dude english good modi fekunomics dont embarrass education system chicanery get educated trolling wont paying coming may,Possitive
modi putting spirited fight extradite fraudsters never saw even single person extradited prosecuted corruption come power set guys free,Possitive
gave terrorists biryani fed bombs yogi adityanath draws parallel cong bjp abe biryani tere bap modi ney khaya tha jjoot bolta besharsn,Negative
election commission pulls railway aviation ministry modi photo yet removed tickets,Negative
